loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6923,9.892703862660943e-08,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6917977929115295,0.5232487922705314,0.5432405566600398,0.623502567027952,0.5806108897742365,7.9862,414.717,51.84,,,,,
0.6898,9.785407725321888e-08,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.69008868932724,0.5413647342995169,0.5495762711864407,0.739874500855676,0.6306831996109895,5.2357,632.581,79.073,,,,,
0.6875,9.678111587982832e-08,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6882089972496033,0.5522342995169082,0.554,0.7900741585852824,0.6513049612038562,5.2336,632.84,79.105,,,,,
0.685,9.570815450643777e-08,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6860089302062988,0.5634057971014492,0.5610823716673299,0.8043354249857387,0.6610407876230661,5.2584,629.843,78.73,,,,,
0.6821,9.463519313304721e-08,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6833119988441467,0.5766908212560387,0.5716034271725826,0.7992013690815745,0.6665080875356804,5.2523,630.581,78.823,,,,,
0.6783,9.356223175965665e-08,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6800047159194946,0.586352657004831,0.584772023019035,0.753565316600114,0.6585244267198405,5.2686,628.636,78.579,,,,,
0.6738,9.24892703862661e-08,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6765986680984497,0.5905797101449275,0.5916859122401847,0.7307472903593839,0.6539050535987748,5.2689,628.589,78.574,,,,,
0.6698,9.141630901287553e-08,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6732897162437439,0.595108695652174,0.6056410256410256,0.6737022247575585,0.6378611936267892,5.2303,633.232,79.154,,,,,
0.6659,9.034334763948499e-08,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6704111695289612,0.5905797101449275,0.605416887944769,0.6503137478608101,0.6270627062706271,5.2508,630.76,78.845,,,,,
0.6621,8.927038626609442e-08,10.73,5000,,,,,,,,,,,,,
