loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6789,9.892703862660943e-07,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6668865084648132,0.5981280193236715,0.6049751243781094,0.6936679977181974,0.6462928514483125,8.0723,410.293,51.287,,,,,
0.6474,9.785407725321888e-07,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.65581214427948,0.615036231884058,0.6291891891891892,0.6640045636052482,0.6461282264779351,5.5146,600.588,75.074,,,,,
0.6324,9.678111587982831e-07,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6523945927619934,0.6216787439613527,0.6450116009280742,0.6343411294922989,0.639631866551625,6.8333,484.685,60.586,,,,,
0.6233,9.570815450643777e-07,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6530748605728149,0.6207729468599034,0.6616785946649317,0.5801483171705647,0.6182370820668692,5.5215,599.834,74.979,,,,,
0.6164,9.463519313304721e-07,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6484569311141968,0.6286231884057971,0.6641556811048337,0.6035367940673132,0.6323968918111179,5.723,578.721,72.34,,,,,
0.6101,9.356223175965665e-07,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6465801000595093,0.6313405797101449,0.6650124069478908,0.6115231032515688,0.637147102526003,5.9558,556.097,69.512,,,,,
0.6036,9.249141630901287e-07,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6459872722625732,0.6325483091787439,0.6604790419161677,0.6292070735881347,0.6444639205375403,5.5187,600.141,75.018,,,,,
0.5965,9.141845493562231e-07,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6472594141960144,0.6340579710144928,0.6816655473472129,0.5790074158585282,0.6261566933991364,5.5371,598.148,74.769,,,,,
0.5902,9.034549356223176e-07,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6520712971687317,0.6292270531400966,0.6917457998539079,0.5402167712492869,0.6066623959000641,5.4639,606.156,75.77,,,,,
0.5833,8.92725321888412e-07,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.6477647423744202,0.6331521739130435,0.6891701828410689,0.5590416428978894,0.6173228346456693,5.7324,577.77,72.221,,,,,
0.5771,8.819957081545064e-07,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,0.6429355144500732,0.6431159420289855,0.6836012861736335,0.6063890473474044,0.6426844014510278,6.1181,541.346,67.668,,,,,
0.5702,8.712875536480686e-07,12.88,6000,,,,,,,,,,,,,
,,12.88,6000,0.6405377388000488,0.6407004830917874,0.6769327467001885,0.61437535653166,0.6441387559808612,6.549,505.723,63.215,,,,,
0.5647,8.60557939914163e-07,13.95,6500,,,,,,,,,,,,,
,,13.95,6500,0.6432101726531982,0.6376811594202898,0.6987778576563624,0.5544780376497433,0.6183206106870229,6.6324,499.363,62.42,,,,,
0.5586,8.498497854077252e-07,15.02,7000,,,,,,,,,,,,,
,,15.02,7000,0.6381707787513733,0.6497584541062802,0.6884933248569612,0.6177980604677695,0.6512327119663259,6.5004,509.51,63.689,,,,,
0.5528,8.391201716738196e-07,16.09,7500,,,,,,,,,,,,,
,,16.09,7500,0.6410848498344421,0.644927536231884,0.6991028295376122,0.5778665145464917,0.6327295440349782,6.9122,479.154,59.894,,,,,
0.5447,8.283905579399141e-07,17.17,8000,,,,,,,,,,,,,
,,17.17,8000,0.6456781625747681,0.6479468599033816,0.6902138690861958,0.607529948659441,0.64623786407767,5.4332,609.581,76.198,,,,,
0.5371,8.176609442060085e-07,18.24,8500,,,,,,,,,,,,,
,,18.24,8500,0.6584056615829468,0.6328502415458938,0.7115839243498818,0.5151169423844837,0.5976174718729318,5.5919,592.289,74.036,,,,,
0.5344,8.069313304721029e-07,19.31,9000,,,,,,,,,,,,,
,,19.31,9000,0.6578154563903809,0.6397946859903382,0.7225755166931638,0.5185396463205932,0.603786117568914,5.4909,603.179,75.397,,,,,
0.5278,7.962231759656652e-07,20.39,9500,,,,,,,,,,,,,
,,20.39,9500,0.6537719368934631,0.6388888888888888,0.711787072243346,0.5339418140330862,0.6101694915254238,5.4471,608.025,76.003,,,,,
0.5256,7.854935622317596e-07,21.46,10000,,,,,,,,,,,,,
,,21.46,10000,0.6543106436729431,0.6400966183574879,0.704,0.5521962350256703,0.618925831202046,5.6879,582.289,72.786,,,,,
0.5129,7.747639484978541e-07,22.53,10500,,,,,,,,,,,,,
,,22.53,10500,0.6543031930923462,0.6476449275362319,0.7078014184397163,0.5693097547062179,0.6310464748656339,5.511,600.98,75.123,,,,,
0.5123,7.640343347639485e-07,23.61,11000,,,,,,,,,,,,,
,,23.61,11000,0.654495894908905,0.6467391304347826,0.6924092409240924,0.5984027381631489,0.6419828641370869,5.5184,600.169,75.021,,,,,
0.5068,7.533476394849785e-07,24.68,11500,,,,,,,,,,,,,
