loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6782,9.892703862660943e-07,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6691068410873413,0.5908816425120773,0.6037539103232534,0.6605818596691386,0.630890765459003,8.0331,412.296,51.537,,,,,
0.6517,9.785407725321888e-07,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6634482145309448,0.6002415458937198,0.6771263418662262,0.4677695379349686,0.553306342780027,5.323,622.205,77.776,,,,,
0.6387,9.678111587982831e-07,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.656879723072052,0.6041666666666666,0.672386895475819,0.4917284654877353,0.5680395387149917,5.3428,619.9,77.488,,,,,
0.6298,9.570815450643777e-07,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6581016778945923,0.6029589371980676,0.6783387622149837,0.47518539646320596,0.5588728614558873,5.3447,619.683,77.46,,,,,
0.6259,9.463519313304721e-07,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6502723097801208,0.616243961352657,0.6772058823529412,0.5253850541928123,0.591712174751044,5.3302,621.366,77.671,,,,,
0.6196,9.356223175965665e-07,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6480652689933777,0.6210748792270532,0.676595744680851,0.5442099258414147,0.6032247865950048,5.3343,620.89,77.611,,,,,
0.6133,9.248927038626609e-07,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6487396359443665,0.6228864734299517,0.6863905325443787,0.5293782087849401,0.5977455716586151,5.3333,621.007,77.626,,,,,
0.6104,9.141630901287554e-07,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6445823311805725,0.6316425120772947,0.6878083157152924,0.5567598402738163,0.6153846153846153,5.3577,618.178,77.272,,,,,
0.6071,9.034549356223176e-07,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6440798044204712,0.6325483091787439,0.6889985895627645,0.5573302909298345,0.6162093976663514,5.3352,620.781,77.598,,,,,
0.5981,8.92725321888412e-07,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.6422247290611267,0.6355676328502415,0.6917134831460674,0.5618938961779806,0.6200818382121499,5.3474,619.371,77.421,,,,,
0.5987,8.819957081545064e-07,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,0.6318814158439636,0.6482487922705314,0.6828358208955224,0.6263548203080433,0.6533769711395417,5.3615,617.738,77.217,,,,,
0.5909,8.712660944206008e-07,12.88,6000,,,,,,,,,,,,,
,,12.88,6000,0.6366509199142456,0.643719806763285,0.6979958534899793,0.576155162578437,0.6312500000000001,5.338,620.458,77.557,,,,,
0.5876,8.60557939914163e-07,13.95,6500,,,,,,,,,,,,,
,,13.95,6500,0.639406144618988,0.643719806763285,0.6996515679442509,0.5727324586423275,0.6298619824341279,5.3459,619.535,77.442,,,,,
0.5833,8.498497854077252e-07,15.02,7000,,,,,,,,,,,,,
,,15.02,7000,0.6362248659133911,0.6428140096618358,0.703281027104137,0.5624643468339988,0.6250396196513469,5.3546,618.538,77.317,,,,,
0.5805,8.391201716738196e-07,16.09,7500,,,,,,,,,,,,,
,,16.09,7500,0.6335806250572205,0.6473429951690821,0.6977687626774848,0.5887050770108385,0.6386138613861385,5.3437,619.795,77.474,,,,,
0.5749,8.283905579399141e-07,17.17,8000,,,,,,,,,,,,,
,,17.17,8000,0.6370699405670166,0.6473429951690821,0.7061310782241015,0.5715915573302909,0.631778058007566,5.3495,619.122,77.39,,,,,
0.5773,8.176609442060085e-07,18.24,8500,,,,,,,,,,,,,
,,18.24,8500,0.637122392654419,0.6485507246376812,0.707833450952717,0.5721620079863092,0.632807570977918,5.3713,616.609,77.076,,,,,
0.571,8.069527896995708e-07,19.31,9000,,,,,,,,,,,,,
,,19.31,9000,0.6380441784858704,0.6497584541062802,0.7181751287711553,0.5567598402738163,0.6272493573264781,5.3371,620.566,77.571,,,,,
0.5664,7.962231759656652e-07,20.39,9500,,,,,,,,,,,,,
,,20.39,9500,0.6314015984535217,0.6485507246376812,0.691109669046074,0.607529948659441,0.6466302367941712,5.3645,617.388,77.174,,,,,
0.5613,7.854935622317596e-07,21.46,10000,,,,,,,,,,,,,
,,21.46,10000,0.6335349082946777,0.6506642512077294,0.6994645247657296,0.5961209355390759,0.6436710809978442,5.3385,620.398,77.55,,,,,
0.5619,7.747639484978541e-07,22.53,10500,,,,,,,,,,,,,
,,22.53,10500,0.6370192170143127,0.6485507246376812,0.7117181883537024,0.5647461494580719,0.6297709923664121,5.3496,619.114,77.389,,,,,
0.5564,7.640557939914162e-07,23.61,11000,,,,,,,,,,,,,
