loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6929,9.892703862660943e-08,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6919893026351929,0.5157004830917874,0.529204233633869,0.7701083856246435,0.6273234200743494,8.0084,413.567,51.696,,,,,
0.6909,9.785407725321888e-08,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6904435753822327,0.5301932367149759,0.5347442680776014,0.8648031945236737,0.6608544027898867,5.3503,619.033,77.379,,,,,
0.6885,9.678111587982832e-08,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6885457038879395,0.5365338164251208,0.5365526492287056,0.9127210496292071,0.675818373812038,5.2727,628.137,78.517,,,,,
0.686,9.570815450643777e-08,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6862318515777588,0.5440821256038647,0.5404057199866977,0.9269823160296634,0.6827731092436975,5.258,629.893,78.737,,,,,
0.6829,9.463519313304721e-08,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6831191182136536,0.5486111111111112,0.5442386831275721,0.9053051911009697,0.6798029556650247,5.2821,627.029,78.379,,,,,
0.6782,9.356223175965665e-08,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6794629693031311,0.5709541062801933,0.5603636363636364,0.87906446092413,0.6844326004885631,5.2814,627.107,78.388,,,,,
0.6749,9.24892703862661e-08,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6758852005004883,0.5797101449275363,0.5743104158089749,0.7957786651454649,0.6671449067431852,5.2959,625.389,78.174,,,,,
0.6693,9.141630901287553e-08,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6724826097488403,0.5932971014492754,0.5904634581105169,0.7558471192241871,0.662997247935952,5.2734,628.053,78.507,,,,,
0.6662,9.034334763948499e-08,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6697888970375061,0.5984299516908212,0.6014388489208633,0.7153451226468911,0.6534653465346536,5.2838,626.82,78.352,,,,,
0.6628,8.927038626609442e-08,10.73,5000,,,,,,,,,,,,,
