loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.701,9.892703862660943e-08,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6959548592567444,0.4761473429951691,0.5096359743040685,0.2715345122646891,0.3542984741347227,8.2043,403.692,50.462,,,,,
0.6965,9.785407725321888e-08,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6930893063545227,0.5117753623188406,0.5294117647058824,0.6982316029663435,0.6022140221402215,5.5307,598.842,74.855,,,,,
0.6928,9.678111587982832e-08,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6913537383079529,0.5295893719806763,0.5316250405449238,0.934968625213919,0.6778329197684037,5.5327,598.627,74.828,,,,,
0.6899,9.570815450643777e-08,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6903002262115479,0.528683574879227,0.5296113510178901,0.9794637763833428,0.6874874874874874,5.4839,603.955,75.494,,,,,
0.6862,9.463519313304721e-08,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6896991729736328,0.529891304347826,0.5301353013530136,0.9834569309754706,0.6889110889110891,5.495,602.728,75.341,,,,,
0.6833,9.356223175965665e-08,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.68865567445755,0.5353260869565217,0.5335003130870382,0.9720479178551056,0.6889023650697391,5.5125,600.811,75.101,,,,,
0.6786,9.24892703862661e-08,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6867856383323669,0.5380434782608695,0.5360724684568101,0.9452367370222475,0.6841453344343518,5.5462,597.168,74.646,,,,,
0.6742,9.141630901287553e-08,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6850512027740479,0.5474033816425121,0.5424181696726786,0.9264118653736452,0.6842216136507268,5.502,601.967,75.246,,,,,
0.6709,9.034334763948499e-08,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6818393468856812,0.5640096618357487,0.5543057996485061,0.8996006845407872,0.6859504132231404,5.4863,603.689,75.461,,,,,
0.6665,8.927038626609442e-08,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.6792353987693787,0.5730676328502415,0.5614353026458861,0.8836280661722761,0.686613475177305,5.5268,599.256,74.907,,,,,
0.663,8.819957081545065e-08,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,0.677105724811554,0.580012077294686,0.5674869500372856,0.8682258984597833,0.6863585118376551,5.5007,602.104,75.263,,,,,
0.6612,8.712660944206008e-08,12.88,6000,,,,,,,,,,,,,
,,12.88,6000,0.6738039255142212,0.5881642512077294,0.5758284600389864,0.8425556189389618,0.684113015284854,5.4892,603.364,75.421,,,,,
0.6591,8.605579399141631e-08,13.95,6500,,,,,,,,,,,,,
,,13.95,6500,0.6720178723335266,0.592391304347826,0.5798652397938961,0.8345693097547062,0.6842843779232928,5.5277,599.168,74.896,,,,,
0.6555,8.498283261802574e-08,15.02,7000,,,,,,,,,,,,,
,,15.02,7000,0.6702638864517212,0.5981280193236715,0.5855636658556367,0.8237307472903593,0.6845223986726712,5.5269,599.251,74.906,,,,,
0.6545,8.390987124463518e-08,16.09,7500,,,,,,,,,,,,,
,,16.09,7500,0.6685776114463806,0.5996376811594203,0.5884057971014492,0.8106103822019395,0.6818618042226487,5.4855,603.768,75.471,,,,,
0.6524,8.283690987124463e-08,17.17,8000,,,,,,,,,,,,,
,,17.17,8000,0.6661884188652039,0.6041666666666666,0.5942028985507246,0.7952082144894467,0.6801658941205172,5.5088,601.215,75.152,,,,,
0.6512,8.176394849785407e-08,18.24,8500,,,,,,,,,,,,,
,,18.24,8500,0.6649860739707947,0.6071859903381642,0.5967465753424658,0.7952082144894467,0.6818292981168991,5.5222,599.76,74.97,,,,,
0.6499,8.069098712446352e-08,19.31,9000,,,,,,,,,,,,,
,,19.31,9000,0.6636975407600403,0.6105072463768116,0.6004338394793927,0.7895037079292642,0.6821094135041893,5.5137,600.681,75.085,,,,,
0.6472,7.961802575107296e-08,20.39,9500,,,,,,,,,,,,,
,,20.39,9500,0.6623979806900024,0.6120169082125604,0.6028119507908611,0.7826583000570451,0.6810622983370563,5.4939,602.849,75.356,,,,,
0.6473,7.854721030042918e-08,21.46,10000,,,,,,,,,,,,,
,,21.46,10000,0.6609632968902588,0.6144323671497585,0.6061552185548618,0.7752424415288077,0.6803504380475595,5.5127,600.792,75.099,,,,,
0.6447,7.747424892703862e-08,22.53,10500,,,,,,,,,,,,,
,,22.53,10500,0.6598968505859375,0.6168478260869565,0.6098003629764065,0.7666856816885339,0.6793025018953752,5.4939,602.847,75.356,,,,,
0.6429,7.640128755364807e-08,23.61,11000,,,,,,,,,,,,,
,,23.61,11000,0.6586201190948486,0.6171497584541062,0.6126335346028797,0.7524244152880776,0.6753712237583206,5.5163,600.4,75.05,,,,,
0.642,7.532832618025751e-08,24.68,11500,,,,,,,,,,,,,
,,24.68,11500,0.65750652551651,0.6195652173913043,0.6156733927733459,0.7484312606959498,0.6755921730175076,5.5226,599.715,74.964,,,,,
0.6429,7.425536480686695e-08,25.75,12000,,,,,,,,,,,,,
,,25.75,12000,0.6566028594970703,0.6222826086956522,0.6183962264150943,0.7478608100399315,0.6769945778466305,5.5239,599.576,74.947,,,,,
0.6404,7.318454935622317e-08,26.82,12500,,,,,,,,,,,,,
,,26.82,12500,0.6554213166236877,0.6225845410628019,0.6223844282238443,0.7296063890473474,0.6717436974789917,5.5002,602.161,75.27,,,,,
0.6392,7.21115879828326e-08,27.9,13000,,,,,,,,,,,,,
,,27.9,13000,0.654673159122467,0.6231884057971014,0.6234718826405868,0.7273245864232744,0.6714060031595577,5.5057,601.554,75.194,,,,,
0.6374,7.103862660944206e-08,28.97,13500,,,,,,,,,,,,,
,,28.97,13500,0.6541200876235962,0.6231884057971014,0.6233512457254519,0.7278950370792926,0.671578947368421,5.4768,604.73,75.591,,,,,
0.6377,6.99656652360515e-08,30.04,14000,,,,,,,,,,,,,
,,30.04,14000,0.6534688472747803,0.6231884057971014,0.625559423172551,0.7176269252709641,0.6684378320935175,5.4801,604.373,75.547,,,,,
0.6368,6.889270386266094e-08,31.12,14500,,,,,,,,,,,,,
,,31.12,14500,0.652896523475647,0.6240942028985508,0.6266201395812563,0.7170564746149458,0.6687948922585795,5.5328,598.608,74.826,,,,,
0.6362,6.782188841201717e-08,32.19,15000,,,,,,,,,,,,,
,,32.19,15000,0.6522988677024841,0.6234903381642513,0.6281661600810537,0.7073588134626355,0.6654145425275021,5.499,602.292,75.287,,,,,
0.6363,6.67489270386266e-08,33.26,15500,,,,,,,,,,,,,
,,33.26,15500,0.6517520546913147,0.6225845410628019,0.6282508924018358,0.7027952082144895,0.663435648896069,5.4846,603.868,75.483,,,,,
0.6318,6.567596566523604e-08,34.33,16000,,,,,,,,,,,,,
,,34.33,16000,0.6514149308204651,0.6231884057971014,0.6294208098411072,0.7005134055904164,0.6630669546436285,5.4764,604.773,75.597,,,,,
0.6344,6.460300429184548e-08,35.41,16500,,,,,,,,,,,,,
,,35.41,16500,0.6510321497917175,0.6256038647342995,0.6314710404920554,0.7027952082144895,0.6652267818574514,5.5046,601.676,75.21,,,,,
0.6322,6.353218884120172e-08,36.48,17000,,,,,,,,,,,,,
,,36.48,17000,0.650722324848175,0.6268115942028986,0.6340072576464489,0.6976611523103251,0.6643128734383488,5.4905,603.226,75.403,,,,,
0.6317,6.246137339055794e-08,37.55,17500,,,,,,,,,,,,,
,,37.55,17500,0.6504005193710327,0.6271135265700483,0.6332304526748971,0.7022247575584712,0.6659453611035975,5.5037,601.775,75.222,,,,,
