loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,31.12,14500,0.6576449871063232,0.6183574879227053,0.6116948378254911,0.7638334284084427,0.6793505834601726,5.3654,617.292,77.162,,,,,
0.6376,6.782403433476394e-08,32.19,15000,,,,,,,,,,,,,
,,32.19,15000,0.6568453311920166,0.6165458937198067,0.6121690664189503,0.7518539646320593,0.6748591909882232,5.3277,621.659,77.707,,,,,
0.6369,6.675107296137339e-08,33.26,15500,,,,,,,,,,,,,
,,33.26,15500,0.6564571857452393,0.6177536231884058,0.6132031613203162,0.7524244152880776,0.6757172131147541,5.3535,618.66,77.332,,,,,
0.6373,6.56802575107296e-08,34.33,16000,,,,,,,,,,,,,
,,34.33,16000,0.6560726165771484,0.6189613526570048,0.6143455985095482,0.7524244152880776,0.6764102564102564,5.3447,619.679,77.46,,,,,
0.6348,6.460729613733905e-08,35.41,16500,,,,,,,,,,,,,
,,35.41,16500,0.6557756662368774,0.6201690821256038,0.6151698464402048,0.7541357672561323,0.6776012301383906,5.3434,619.829,77.479,,,,,
0.6335,6.353433476394849e-08,36.48,17000,,,,,,,,,,,,,
,,36.48,17000,0.6552000045776367,0.6159420289855072,0.6132830899670277,0.7427267541357673,0.6718266253869969,5.3738,616.325,77.041,,,,,
0.6336,6.246137339055794e-08,37.55,17500,,,,,,,,,,,,,
,,37.55,17500,0.6548956036567688,0.6180555555555556,0.6149858623939679,0.744438106103822,0.6735483870967741,5.3592,617.998,77.25,,,,,
0.6332,6.139055793991415e-08,38.63,18000,,,,,,,,,,,,,
,,38.63,18000,0.6546369194984436,0.6183574879227053,0.615931721194879,0.7410154021677124,0.6727084412221647,5.3635,617.502,77.188,,,,,
0.6314,6.03175965665236e-08,39.7,18500,,,,,,,,,,,,,
,,39.7,18500,0.6541613936424255,0.6198671497584541,0.6181818181818182,0.7370222475755848,0.6723913609159511,5.3273,621.705,77.713,,,,,
0.6311,5.924463519313304e-08,40.77,19000,,,,,,,,,,,,,
,,40.77,19000,0.654159426689148,0.6219806763285024,0.6184397163120567,0.7461494580718768,0.6763185108583247,5.359,618.024,77.253,,,,,
0.6307,5.8171673819742483e-08,41.85,19500,,,,,,,,,,,,,
,,41.85,19500,0.6537688374519348,0.6201690821256038,0.6188190110417667,0.7353108956075299,0.6720542231491137,5.3525,618.774,77.347,,,,,
0.6313,5.709871244635193e-08,42.92,20000,,,,,,,,,,,,,
,,42.92,20000,0.6533862948417664,0.6216787439613527,0.6206563706563707,0.7335995436394752,0.6724183006535948,5.3841,615.145,76.893,,,,,
0.6298,5.602575107296137e-08,43.99,20500,,,,,,,,,,,,,
,,43.99,20500,0.6530795693397522,0.6228864734299517,0.6234084231145935,0.7261836851112379,0.6708827404479579,5.3549,618.494,77.312,,,,,
0.6293,5.495278969957081e-08,45.06,21000,,,,,,,,,,,,,
,,45.06,21000,0.652786135673523,0.6240942028985508,0.62426614481409,0.7278950370792926,0.6721095601790887,5.3432,619.85,77.481,,,,,
0.628,5.387982832618025e-08,46.14,21500,,,,,,,,,,,,,
,,46.14,21500,0.6525720953941345,0.6253019323671497,0.6251221896383187,0.7296063890473474,0.6733350881811002,5.3644,617.406,77.176,,,,,
0.628,5.28068669527897e-08,47.21,22000,,,,,,,,,,,,,
,,47.21,22000,0.6524325013160706,0.623792270531401,0.6233576642335766,0.7307472903593839,0.6727941176470588,5.4033,612.953,76.619,,,,,
0.627,5.173390557939914e-08,48.28,22500,,,,,,,,,,,,,
,,48.28,22500,0.6520190238952637,0.623792270531401,0.6258064516129033,0.7193382772390188,0.6693205944798302,5.349,619.18,77.398,,,,,
0.6249,5.0660944206008585e-08,49.36,23000,,,,,,,,,,,,,
,,49.36,23000,0.6518588662147522,0.6234903381642513,0.6251236399604352,0.7210496292070736,0.6696688741721855,5.3513,618.92,77.365,,,,,
0.6279,4.958798283261802e-08,50.43,23500,,,,,,,,,,,,,
,,50.43,23500,0.6519875526428223,0.6228864734299517,0.6235294117647059,0.7256132344552196,0.6707092011600315,5.3645,617.388,77.174,,,,,
0.6262,4.851502145922747e-08,51.5,24000,,,,,,,,,,,,,
,,51.5,24000,0.6516710519790649,0.623792270531401,0.625308947108255,0.7216200798630918,0.670021186440678,5.3697,616.79,77.099,,,,,
0.6266,4.744420600858369e-08,52.58,24500,,,,,,,,,,,,,
,,52.58,24500,0.6514143347740173,0.6231884057971014,0.6256844201095072,0.7170564746149458,0.6682615629984051,5.3546,618.534,77.317,,,,,
0.6241,4.6373390557939914e-08,53.65,25000,,,,,,,,,,,,,
,,53.65,25000,0.6514976620674133,0.6234903381642513,0.6251236399604352,0.7210496292070736,0.6696688741721855,5.3536,618.644,77.331,,,,,
0.6251,4.530042918454936e-08,54.72,25500,,,,,,,,,,,,,
,,54.72,25500,0.651486873626709,0.6231884057971014,0.6242006886374816,0.7239018824871648,0.670364500792393,5.3831,615.263,76.908,,,,,
0.6251,4.4227467811158795e-08,55.79,26000,,,,,,,,,,,,,
,,55.79,26000,0.6510449051856995,0.6231884057971014,0.6270759939607449,0.710781517398745,0.6663101604278074,5.3642,617.426,77.178,,,,,
0.622,4.315665236051502e-08,56.87,26500,,,,,,,,,,,,,
,,56.87,26500,0.6509647965431213,0.623792270531401,0.6273229532898041,0.7124928693667998,0.6672008547008547,5.357,618.254,77.282,,,,,
0.624,4.2083690987124456e-08,57.94,27000,,,,,,,,,,,,,
,,57.94,27000,0.6507290601730347,0.6234903381642513,0.6282961460446247,0.7067883628066173,0.665234899328859,5.383,615.267,76.908,,,,,
0.6215,4.10107296137339e-08,59.01,27500,,,,,,,,,,,,,
,,59.01,27500,0.6507509350776672,0.625,0.628327473631341,0.7136337706788363,0.6682692307692307,5.3328,621.067,77.633,,,,,
0.6227,3.9937768240343344e-08,60.09,28000,,,,,,,,,,,,,
,,60.09,28000,0.6507143974304199,0.623792270531401,0.6280949974734714,0.7090701654306902,0.6661307609860664,5.3419,620.008,77.501,,,,,
0.622,3.886480686695279e-08,61.16,28500,,,,,,,,,,,,,
,,61.16,28500,0.6505582332611084,0.6240942028985508,0.6297242083758938,0.7033656588705077,0.6645109135004043,5.3303,621.353,77.669,,,,,
0.6218,3.779184549356223e-08,62.23,29000,,,,,,,,,,,,,
,,62.23,29000,0.6504377722740173,0.6253019323671497,0.6296859169199595,0.7090701654306902,0.6670244164207138,5.3606,617.841,77.23,,,,,
0.6193,3.671888412017167e-08,63.3,29500,,,,,,,,,,,,,
,,63.3,29500,0.6503081321716309,0.6243961352657005,0.6297807241203468,0.7045065601825442,0.6650511577813678,5.3363,620.656,77.582,,,,,
0.6205,3.5645922746781114e-08,64.38,30000,,,,,,,,,,,,,
,,64.38,30000,0.6503314971923828,0.6243961352657005,0.6292534281361097,0.7067883628066173,0.6657710908113917,5.3548,618.506,77.313,,,,,
0.6225,3.457296137339056e-08,65.45,30500,,,,,,,,,,,,,
,,65.45,30500,0.6502088904380798,0.6240942028985508,0.6301229508196722,0.7016543069024529,0.6639676113360323,5.3755,616.123,77.015,,,,,
0.6202,3.35e-08,66.52,31000,,,,,,,,,,,,,
,,66.52,31000,0.6500736474990845,0.6243961352657005,0.6309830159547092,0.6993725042783799,0.6634199134199135,5.3478,619.323,77.415,,,,,
0.6181,3.2427038626609446e-08,67.6,31500,,,,,,,,,,,,,
,,67.6,31500,0.6500018835067749,0.6253019323671497,0.6319587628865979,0.6993725042783799,0.6639588410506364,5.3889,614.6,76.825,,,,,
0.621,3.135407725321888e-08,68.67,32000,,,,,,,,,,,,,
,,68.67,32000,0.6499178409576416,0.6259057971014492,0.6323377960865088,0.7005134055904164,0.66468200270636,5.3852,615.014,76.877,,,,,
0.62,3.028111587982832e-08,69.74,32500,,,,,,,,,,,,,
,,69.74,32500,0.6499133110046387,0.6259057971014492,0.631525076765609,0.703936109526526,0.6657674669544105,5.3724,616.488,77.061,,,,,
0.6189,2.9208154506437765e-08,70.82,33000,,,,,,,,,,,,,
,,70.82,33000,0.6498488187789917,0.6268115942028986,0.6320899335717935,0.7056474614945807,0.6668463611859838,5.3334,620.997,77.625,,,,,
0.6178,2.8137339055793992e-08,71.89,33500,,,,,,,,,,,,,
,,71.89,33500,0.6498575210571289,0.6271135265700483,0.6326844262295082,0.7045065601825442,0.6666666666666666,5.329,621.503,77.688,,,,,
0.6205,2.7066523605150216e-08,72.96,34000,,,,,,,,,,,,,
,,72.96,34000,0.6496753096580505,0.6259057971014492,0.633160621761658,0.6970907016543069,0.6635894651099647,5.3774,615.911,76.989,,,,,
0.6171,2.599356223175966e-08,74.03,34500,,,,,,,,,,,,,
,,74.03,34500,0.6496812701225281,0.6259057971014492,0.6323377960865088,0.7005134055904164,0.66468200270636,5.3627,617.602,77.2,,,,,
0.6188,2.4920600858369097e-08,75.11,35000,,,,,,,,,,,,,
,,75.11,35000,0.6496374607086182,0.6259057971014492,0.6323377960865088,0.7005134055904164,0.66468200270636,5.3462,619.502,77.438,,,,,
0.6183,2.384763948497854e-08,76.18,35500,,,,,,,,,,,,,
,,76.18,35500,0.649480402469635,0.6268115942028986,0.6342857142857142,0.6965202509982886,0.6639477977161501,5.3408,620.136,77.517,,,,,
0.6171,2.277682403433476e-08,77.25,36000,,,,,,,,,,,,,
,,77.25,36000,0.6495723128318787,0.6265096618357487,0.6327160493827161,0.7016543069024529,0.6654043819312956,5.3594,617.978,77.247,,,,,
0.6167,2.1703862660944205e-08,78.33,36500,,,,,,,,,,,,,
,,78.33,36500,0.6494863629341125,0.6274154589371981,0.6341085271317829,0.6999429549343982,0.6654013015184382,5.3808,615.521,76.94,,,,,
0.6159,2.063090128755365e-08,79.4,37000,,,,,,,,,,,,,
,,79.4,37000,0.6495280861854553,0.6274154589371981,0.633693972179289,0.7016543069024529,0.6659447753113157,5.3693,616.837,77.105,,,,,
0.6191,1.9557939914163087e-08,80.47,37500,,,,,,,,,,,,,
,,80.47,37500,0.6493484377861023,0.6292270531400966,0.6375065479308538,0.6942384483742157,0.6646641179683233,5.3556,618.42,77.302,,,,,
0.6175,1.848497854077253e-08,81.55,38000,,,,,,,,,,,,,
,,81.55,38000,0.6492907404899597,0.6283212560386473,0.6353734439834025,0.6988020536223617,0.6655800054333061,5.3352,620.778,77.597,,,,,
0.6173,1.7414163090128754e-08,82.62,38500,,,,,,,,,,,,,
,,82.62,38500,0.6491613984107971,0.6286231884057971,0.6368393511250654,0.6942384483742157,0.6643013100436681,5.3663,617.186,77.148,,,,,
0.6151,1.6341201716738195e-08,83.69,39000,,,,,,,,,,,,,
,,83.69,39000,0.6490825414657593,0.6289251207729468,0.6367432150313153,0.6959498003422704,0.6650313436903789,5.3427,619.912,77.489,,,,,
0.6159,1.526824034334764e-08,84.76,39500,,,,,,,,,,,,,
,,84.76,39500,0.6491052508354187,0.6280193236714976,0.6363160648874935,0.6936679977181974,0.6637554585152838,5.3086,623.899,77.987,,,,,
0.6168,1.419527896995708e-08,85.84,40000,,,,,,,,,,,,,
,,85.84,40000,0.6491235494613647,0.6295289855072463,0.6368366285119667,0.6982316029663435,0.6661224489795918,5.2965,625.315,78.164,,,,,
0.6153,1.3124463519313304e-08,86.91,40500,,,,,,,,,,,,,
,,86.91,40500,0.6491432189941406,0.6286231884057971,0.6358441558441559,0.6982316029663435,0.6655791190864602,5.3061,624.19,78.024,,,,,
0.6176,1.2051502145922746e-08,87.98,41000,,,,,,,,,,,,,
,,87.98,41000,0.6491002440452576,0.6286231884057971,0.6362688900468995,0.6965202509982886,0.6650326797385622,5.2929,625.741,78.218,,,,,
0.6153,1.0978540772532188e-08,89.06,41500,,,,,,,,,,,,,
,,89.06,41500,0.6490606665611267,0.6283212560386473,0.6362212943632568,0.6953793496862521,0.6644862360316163,5.3078,623.986,77.998,,,,,
0.616,9.90557939914163e-09,90.13,42000,,,,,,,,,,,,,
,,90.13,42000,0.6490407586097717,0.6283212560386473,0.6360792492179353,0.6959498003422704,0.6646690275129393,5.2821,627.02,78.378,,,,,
0.6147,8.832618025751072e-09,91.2,42500,,,,,,,,,,,,,
,,91.2,42500,0.6489977240562439,0.6289251207729468,0.6366006256517206,0.6965202509982886,0.6652138381912286,5.2931,625.721,78.215,,,,,
0.6159,7.759656652360514e-09,92.27,43000,,,,,,,,,,,,,
,,92.27,43000,0.6489719748497009,0.6280193236714976,0.6360313315926893,0.6948088990302339,0.6641221374045803,5.2728,628.128,78.516,,,,,
0.6165,6.688841201716738e-09,93.35,43500,,,,,,,,,,,,,
,,93.35,43500,0.6489768028259277,0.6280193236714976,0.6360313315926893,0.6948088990302339,0.6641221374045803,5.2726,628.158,78.52,,,,,
0.6146,5.615879828326181e-09,94.42,44000,,,,,,,,,,,,,
,,94.42,44000,0.6489889025688171,0.6286231884057971,0.6364110589462703,0.6959498003422704,0.664850136239782,5.2667,628.859,78.607,,,,,
0.6182,4.542918454935622e-09,95.49,44500,,,,,,,,,,,,,
,,95.49,44500,0.6489707231521606,0.6280193236714976,0.6360313315926893,0.6948088990302339,0.6641221374045803,5.2603,629.621,78.703,,,,,
0.6126,3.4699570815450643e-09,96.57,45000,,,,,,,,,,,,,
,,96.57,45000,0.648970365524292,0.6283212560386473,0.6362212943632568,0.6953793496862521,0.6644862360316163,5.2771,627.623,78.453,,,,,
0.6146,2.3969957081545063e-09,97.64,45500,,,,,,,,,,,,,
,,97.64,45500,0.6489711403846741,0.6283212560386473,0.6362212943632568,0.6953793496862521,0.6644862360316163,5.3194,622.631,77.829,,,,,
0.6174,1.3240343347639485e-09,98.71,46000,,,,,,,,,,,,,
,,98.71,46000,0.6489647030830383,0.6283212560386473,0.6362212943632568,0.6953793496862521,0.6644862360316163,5.3063,624.159,78.02,,,,,
0.6149,2.5107296137339056e-10,99.79,46500,,,,,,,,,,,,,
,,99.79,46500,0.6489676237106323,0.6283212560386473,0.6362212943632568,0.6953793496862521,0.6644862360316163,5.2526,630.54,78.818,,,,,
,,100.0,46600,,,,,,,,,5306.8737,561.668,8.781,2.607895630944768e+17,0.6338666582721497
