loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6935,9.892703862660943e-08,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6931877732276917,0.5042270531400966,0.5299837925445705,0.5596120935539076,0.5443951165371809,7.9421,417.016,52.127,,,,,
0.6917,9.785407725321888e-08,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6918243765830994,0.5335144927536232,0.5439932318104906,0.7335995436394752,0.6247267427738644,5.3226,622.258,77.782,,,,,
0.69,9.678111587982832e-08,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6907414793968201,0.5356280193236715,0.5406734771093454,0.8151739874500855,0.6501364877161055,5.3254,621.925,77.741,,,,,
0.6883,9.570815450643777e-08,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6897560954093933,0.5383454106280193,0.5398576512455516,0.865373645179692,0.6649134341442033,5.2994,624.976,78.122,,,,,
0.6871,9.463519313304721e-08,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6888734102249146,0.5416666666666666,0.5409265064437478,0.8859098687963491,0.6717128027681661,5.3002,624.881,78.11,,,,,
0.6856,9.356223175965665e-08,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6880251169204712,0.544987922705314,0.5425311203319502,0.8950370792926412,0.6755651237890204,5.3133,623.346,77.918,,,,,
0.6836,9.24892703862661e-08,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6871674060821533,0.5464975845410628,0.5430827325780981,0.9024529378208785,0.6780968709815687,5.3118,623.513,77.939,,,,,
0.6829,9.141630901287553e-08,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6863493323326111,0.5495169082125604,0.5452653485952134,0.8967484312606959,0.6781708369283865,5.3036,624.477,78.06,,,,,
0.6811,9.034334763948499e-08,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6855055689811707,0.5567632850241546,0.5504424778761062,0.8870507701083856,0.6793359545653124,5.3237,622.122,77.765,,,,,
0.6806,8.927038626609442e-08,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.6847462058067322,0.5570652173913043,0.5514758819294456,0.8739304050199658,0.6762304127124255,5.2916,625.901,78.238,,,,,
0.6783,8.819742489270385e-08,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,0.6839463114738464,0.5600845410628019,0.5543717854518736,0.8608100399315459,0.674413407821229,5.3238,622.115,77.764,,,,,
0.6773,8.71244635193133e-08,12.88,6000,,,,,,,,,,,,,
,,12.88,6000,0.683197021484375,0.5640096618357487,0.5579302587176603,0.8488305761551626,0.6733031674208145,5.288,626.325,78.291,,,,,
0.6763,8.605150214592274e-08,13.95,6500,,,,,,,,,,,,,
,,13.95,6500,0.682477593421936,0.5697463768115942,0.5633693972179289,0.8317170564746149,0.6717346233586732,5.321,622.437,77.805,,,,,
0.6748,8.498068669527897e-08,15.02,7000,,,,,,,,,,,,,
,,15.02,7000,0.6817654371261597,0.5706521739130435,0.5653375444137386,0.8168853394181403,0.6682221185254317,5.3263,621.82,77.728,,,,,
0.6744,8.390772532188841e-08,16.09,7500,,,,,,,,,,,,,
,,16.09,7500,0.6811069250106812,0.5763888888888888,0.5715453802125919,0.7974900171135196,0.6658728268635389,5.3106,623.664,77.958,,,,,
0.673,8.283476394849786e-08,17.17,8000,,,,,,,,,,,,,
,,17.17,8000,0.6804811954498291,0.5788043478260869,0.5760407816482583,0.773531089560753,0.6603360116873631,5.2926,625.782,78.223,,,,,
0.6721,8.17618025751073e-08,18.24,8500,,,,,,,,,,,,,
,,18.24,8500,0.679877758026123,0.5785024154589372,0.5774403470715835,0.7592698231602967,0.6559881715130607,5.3084,623.919,77.99,,,,,
0.6706,8.069098712446352e-08,19.31,9000,,,,,,,,,,,,,
,,19.31,9000,0.6793100833892822,0.5763888888888888,0.57847533632287,0.7358813462635482,0.6477529500376601,5.3203,622.52,77.815,,,,,
0.6701,7.961802575107296e-08,20.39,9500,,,,,,,,,,,,,
,,20.39,9500,0.6787567138671875,0.5778985507246377,0.5809393524851801,0.7267541357672561,0.6457171819564115,5.311,623.611,77.951,,,,,
0.67,7.85450643776824e-08,21.46,10000,,,,,,,,,,,,,
,,21.46,10000,0.678260862827301,0.5809178743961353,0.5850023288309268,0.7164860239589276,0.6441025641025641,5.3434,619.826,77.478,,,,,
0.6688,7.747210300429185e-08,22.53,10500,,,,,,,,,,,,,
,,22.53,10500,0.6778439879417419,0.5791062801932367,0.5864227250842562,0.6948088990302339,0.6360313315926893,5.3074,624.033,78.004,,,,,
0.6679,7.639914163090128e-08,23.61,11000,,,,,,,,,,,,,
,,23.61,11000,0.6774080395698547,0.5791062801932367,0.5888174171202375,0.6788362806617227,0.6306306306306306,5.3125,623.437,77.93,,,,,
0.6673,7.532832618025751e-08,24.68,11500,,,,,,,,,,,,,
,,24.68,11500,0.6769533157348633,0.5827294685990339,0.593169261677549,0.6737022247575585,0.6308760683760685,5.317,622.909,77.864,,,,,
0.6655,7.425536480686695e-08,25.75,12000,,,,,,,,,,,,,
,,25.75,12000,0.6765943169593811,0.5866545893719807,0.5992761116856257,0.6611523103251569,0.6286954163276377,5.3016,624.716,78.09,,,,,
0.6668,7.31824034334764e-08,26.82,12500,,,,,,,,,,,,,
,,26.82,12500,0.6762925386428833,0.5887681159420289,0.6039340776182881,0.648031945236737,0.6252063841496972,5.3157,623.065,77.883,,,,,
0.6646,7.210944206008583e-08,27.9,13000,,,,,,,,,,,,,
,,27.9,13000,0.6759600043296814,0.586352657004831,0.6041326808047852,0.6337706788362807,0.6185968819599109,5.3213,622.405,77.801,,,,,
0.6641,7.103862660944206e-08,28.97,13500,,,,,,,,,,,,,
,,28.97,13500,0.6755989789962769,0.5887681159420289,0.6078323221180364,0.6286366229321164,0.6180594503645542,5.3275,621.683,77.71,,,,,
0.6635,6.99656652360515e-08,30.04,14000,,,,,,,,,,,,,
,,30.04,14000,0.6752539277076721,0.5884661835748792,0.609304932735426,0.6200798630918426,0.6146451795306757,5.3237,622.124,77.766,,,,,
0.6636,6.889270386266094e-08,31.12,14500,,,,,,,,,,,,,
,,31.12,14500,0.6749491095542908,0.5884661835748792,0.6105442176870748,0.61437535653166,0.6124537958487347,5.291,625.974,78.247,,,,,
0.6625,6.781974248927038e-08,32.19,15000,,,,,,,,,,,,,
,,32.19,15000,0.6748355627059937,0.5857487922705314,0.6114686951433587,0.5961209355390759,0.6036972848064702,5.3155,623.082,77.885,,,,,
0.6619,6.674678111587982e-08,33.26,15500,,,,,,,,,,,,,
,,33.26,15500,0.6743899583816528,0.5860507246376812,0.6116959064327485,0.5966913861950941,0.6041004909038407,5.3319,621.161,77.645,,,,,
0.661,6.567596566523604e-08,34.33,16000,,,,,,,,,,,,,
,,34.33,16000,0.6742385625839233,0.5869565217391305,0.6156156156156156,0.5847119224187107,0.5997659449970743,5.3115,623.553,77.944,,,,,
0.6609,6.460300429184548e-08,35.41,16500,,,,,,,,,,,,,
,,35.41,16500,0.6740872859954834,0.5914855072463768,0.6233045622688039,0.5767256132344553,0.5991111111111111,5.2982,625.122,78.14,,,,,
0.6613,6.353004291845493e-08,36.48,17000,,,,,,,,,,,,,
,,36.48,17000,0.673865556716919,0.5932971014492754,0.6265586034912718,0.5733029092983457,0.5987488829311886,5.2874,626.392,78.299,,,,,
0.6603,6.245708154506437e-08,37.55,17500,,,,,,,,,,,,,
,,37.55,17500,0.6736863255500793,0.5942028985507246,0.629348513598988,0.5675984027381632,0.596880623875225,5.3146,623.194,77.899,,,,,
0.6586,6.13862660944206e-08,38.63,18000,,,,,,,,,,,,,
,,38.63,18000,0.6733735203742981,0.5954106280193237,0.6311111111111111,0.5670279520821448,0.5973557692307693,5.3108,623.633,77.954,,,,,
0.6601,6.031330472103004e-08,39.7,18500,,,,,,,,,,,,,
,,39.7,18500,0.6732548475265503,0.5939009661835749,0.632295719844358,0.5561893896177981,0.5918057663125947,5.3195,622.617,77.827,,,,,
0.6575,5.924034334763949e-08,40.77,19000,,,,,,,,,,,,,
,,40.77,19000,0.6731327772140503,0.5905797101449275,0.6305062458908612,0.547062179121506,0.5858277336591325,5.2934,625.685,78.211,,,,,
0.6582,5.816738197424892e-08,41.85,19500,,,,,,,,,,,,,
,,41.85,19500,0.67300945520401,0.5939009661835749,0.637466307277628,0.5396463205932687,0.5844918134074759,5.3099,623.741,77.968,,,,,
0.6586,5.709442060085836e-08,42.92,20000,,,,,,,,,,,,,
,,42.92,20000,0.6730177402496338,0.5935990338164251,0.6396705559368565,0.5316600114090131,0.5806853582554518,5.2931,625.72,78.215,,,,,
0.6574,5.602360515021459e-08,43.99,20500,,,,,,,,,,,,,
,,43.99,20500,0.6727695465087891,0.5948067632850241,0.6426092990978487,0.5282373074729035,0.5798371947401377,5.3108,623.633,77.954,,,,,
0.6566,5.4950643776824036e-08,45.06,21000,,,,,,,,,,,,,
,,45.06,21000,0.6725242137908936,0.5939009661835749,0.6420612813370473,0.5259555048488306,0.5782376920664786,5.2981,625.124,78.14,,,,,
0.6571,5.387768240343348e-08,46.14,21500,,,,,,,,,,,,,
,,46.14,21500,0.6725053787231445,0.5908816425120773,0.6409348441926346,0.5162578436965203,0.5718799368088467,5.344,619.764,77.47,,,,,
0.6567,5.280472103004292e-08,47.21,22000,,,,,,,,,,,,,
