loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6901,9.892703862660943e-08,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.690218985080719,0.5374396135265701,0.5457178320231693,0.7524244152880776,0.6326139088729017,7.9679,415.667,51.958,,,,,
0.6877,9.785407725321888e-08,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6887199878692627,0.5416666666666666,0.5454545454545454,0.8043354249857387,0.6500691562932227,5.239,632.181,79.023,,,,,
0.6859,9.678111587982832e-08,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6872641444206238,0.5474033816425121,0.5495319812792512,0.8037649743297205,0.6527681260134353,5.2405,632.007,79.001,,,,,
0.6837,9.570815450643777e-08,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6856520175933838,0.5591787439613527,0.5590487706569931,0.7912150598973189,0.6551724137931034,5.2448,631.482,78.935,,,,,
0.682,9.463519313304721e-08,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6840448975563049,0.5685386473429952,0.5682392586352149,0.7695379349686252,0.6537436394475407,5.2461,631.326,78.916,,,,,
0.6786,9.356223175965665e-08,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6821417212486267,0.5703502415458938,0.5727513227513228,0.7410154021677124,0.6461079333499129,5.2515,630.677,78.835,,,,,
0.6768,9.24892703862661e-08,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6802453398704529,0.5778985507246377,0.5820619509939898,0.7181973759269823,0.6430030643513789,5.2611,629.53,78.691,,,,,
0.6738,9.141630901287553e-08,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6782158017158508,0.5845410628019324,0.5894636924537257,0.708499714774672,0.6435233160621762,5.2358,632.563,79.07,,,,,
0.6711,9.034334763948499e-08,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6763277649879456,0.5866545893719807,0.5953326713008937,0.683970336565887,0.6365808335545526,5.2686,628.631,78.579,,,,,
0.6695,8.927038626609442e-08,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.6745734214782715,0.591183574879227,0.6045049764274489,0.6583000570450656,0.6302566903331512,5.2418,631.845,78.981,,,,,
0.6659,8.819742489270385e-08,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,0.67287677526474,0.591183574879227,0.6088379705400983,0.6366229321163719,0.6224205242610151,5.2715,628.279,78.535,,,,,
0.6648,8.71244635193133e-08,12.88,6000,,,,,,,,,,,,,
,,12.88,6000,0.6713275909423828,0.5945048309178744,0.6143973214285714,0.6280661722760981,0.6211565585331452,5.2419,631.832,78.979,,,,,
0.6623,8.605364806866952e-08,13.95,6500,,,,,,,,,,,,,
,,13.95,6500,0.6701193451881409,0.5966183574879227,0.6207295888824551,0.6115231032515688,0.6160919540229886,5.2409,631.957,78.995,,,,,
