loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,31.12,14500,1.4274789094924927,0.7176932367149759,0.7310734463276836,0.7381631488876212,0.7346011921657678,5.6752,583.595,72.949,,,,,
0.0389,6.78304721030043e-06,32.19,15000,,,,,,,,,,,,,
,,32.19,15000,1.4907076358795166,0.7104468599033816,0.7134408602150538,0.7569880205362236,0.7345696097425963,5.6487,586.334,73.292,,,,,
0.0324,6.675751072961374e-06,33.26,15500,,,,,,,,,,,,,
,,33.26,15500,1.5911492109298706,0.7122584541062802,0.7197802197802198,0.7472903593839133,0.7332773579624965,5.6849,582.598,72.825,,,,,
0.0348,6.568669527896996e-06,34.33,16000,,,,,,,,,,,,,
,,34.33,16000,1.5559179782867432,0.7128623188405797,0.7557397959183674,0.6759840273816314,0.7136404697380307,5.6594,585.221,73.153,,,,,
0.0318,6.4613733905579405e-06,35.41,16500,,,,,,,,,,,,,
,,35.41,16500,1.5733784437179565,0.7059178743961353,0.7209302325581395,0.7250427837992014,0.7229806598407281,5.6822,582.877,72.86,,,,,
0.036,6.3540772532188846e-06,36.48,17000,,,,,,,,,,,,,
,,36.48,17000,1.5628803968429565,0.7152777777777778,0.7189189189189189,0.7586993725042784,0.7382736608381906,5.6782,583.283,72.91,,,,,
0.0275,6.246781115879829e-06,37.55,17500,,,,,,,,,,,,,
,,37.55,17500,1.6104737520217896,0.7204106280193237,0.7250952640174197,0.7598402738163149,0.7420612813370474,5.6637,584.781,73.098,,,,,
0.0292,6.139484978540773e-06,38.63,18000,,,,,,,,,,,,,
,,38.63,18000,1.66587233543396,0.7116545893719807,0.7415254237288136,0.6988020536223617,0.7195301027900146,5.6551,585.662,73.208,,,,,
0.0244,6.032188841201717e-06,39.7,18500,,,,,,,,,,,,,
,,39.7,18500,1.6684744358062744,0.714975845410628,0.7495373226403454,0.6930975470621791,0.7202133965619442,5.6779,583.317,72.915,,,,,
0.0231,5.924892703862662e-06,40.77,19000,,,,,,,,,,,,,
