loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6397,9.892703862660945e-06,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6426628828048706,0.6431159420289855,0.6992323796231682,0.5715915573302909,0.6290018832391714,8.7683,377.724,47.216,,,,,
0.5812,9.785622317596567e-06,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6706221699714661,0.6189613526570048,0.7322611163670766,0.4415288077581289,0.5508896797153026,6.0865,544.153,68.019,,,,,
0.5148,9.678326180257511e-06,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6781949996948242,0.652475845410628,0.7366352201257862,0.5345122646891044,0.619504132231405,6.082,544.562,68.07,,,,,
0.4542,9.571030042918455e-06,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6815935969352722,0.663647342995169,0.716024340770791,0.6041072447233314,0.6553217821782178,6.0376,548.564,68.57,,,,,
0.3847,9.4637339055794e-06,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.7778170704841614,0.6512681159420289,0.7966269841269841,0.4580718767826583,0.5816733067729084,6.0446,547.932,68.491,,,,,
0.3182,9.356437768240344e-06,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.8130339980125427,0.6567028985507246,0.7619047619047619,0.511123787792356,0.6118129054284739,6.0471,547.701,68.463,,,,,
0.2588,9.249570815450644e-06,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.8385037183761597,0.686292270531401,0.7579479768786127,0.5984027381631489,0.6687918393369461,6.0287,549.375,68.672,,,,,
0.218,9.142274678111588e-06,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.8549617528915405,0.6896135265700483,0.7536738978306508,0.61437535653166,0.6769327467001884,6.0468,547.731,68.466,,,,,
0.1793,9.034978540772533e-06,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,1.0030485391616821,0.6721014492753623,0.7790794979079498,0.5310895607529948,0.6316146540027137,6.0947,543.426,67.928,,,,,
0.1563,8.927682403433478e-06,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.9558860063552856,0.6944444444444444,0.756401384083045,0.623502567027952,0.6835522201375859,6.0631,546.253,68.282,,,,,
0.1283,8.820386266094422e-06,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,1.0686795711517334,0.6917270531400966,0.7545201668984701,0.618938961779806,0.6800376057662175,6.0722,545.437,68.18,,,,,
0.1143,8.713304721030043e-06,12.88,6000,,,,,,,,,,,,,
,,12.88,6000,1.1353992223739624,0.6980676328502415,0.7893927747886241,0.5858528237307473,0.6725605762933857,6.0729,545.374,68.172,,,,,
0.0961,8.606008583690987e-06,13.95,6500,,,,,,,,,,,,,
,,13.95,6500,1.1461254358291626,0.6965579710144928,0.780359820089955,0.5938391329150029,0.67444120505345,6.0436,548.021,68.503,,,,,
0.0825,8.498712446351933e-06,15.02,7000,,,,,,,,,,,,,
,,15.02,7000,1.2150168418884277,0.7019927536231884,0.7828655834564254,0.6046776953793497,0.682330222079176,6.1154,541.584,67.698,,,,,
0.0739,8.391416309012877e-06,16.09,7500,,,,,,,,,,,,,
,,16.09,7500,1.28781259059906,0.6983695652173914,0.786910197869102,0.5898459783228751,0.6742745353765895,6.0471,547.7,68.463,,,,,
0.0636,8.284334763948498e-06,17.17,8000,,,,,,,,,,,,,
,,17.17,8000,1.5582090616226196,0.6681763285024155,0.8084905660377358,0.48887621220764405,0.6093138997511554,6.0642,546.152,68.269,,,,,
0.0585,8.177038626609442e-06,18.24,8500,,,,,,,,,,,,,
,,18.24,8500,1.415855050086975,0.7016908212560387,0.7593220338983051,0.638904734740445,0.6939281288723668,6.0837,544.406,68.051,,,,,
0.0552,8.069742489270388e-06,19.31,9000,,,,,,,,,,,,,
,,19.31,9000,1.4010838270187378,0.7047101449275363,0.7488760436737315,0.6651454649172847,0.7045317220543806,6.0495,547.483,68.435,,,,,
0.0461,7.962446351931332e-06,20.39,9500,,,,,,,,,,,,,
,,20.39,9500,1.6615194082260132,0.6796497584541062,0.8035087719298246,0.522532800912721,0.6332526788800553,6.042,548.166,68.521,,,,,
0.0467,7.855150214592276e-06,21.46,10000,,,,,,,,,,,,,
,,21.46,10000,1.8177759647369385,0.6790458937198067,0.8402366863905325,0.4860239589275528,0.6158294181423926,6.1291,540.375,67.547,,,,,
0.0442,7.74785407725322e-06,22.53,10500,,,,,,,,,,,,,
,,22.53,10500,1.4773328304290771,0.720108695652174,0.7798102981029811,0.6565887050770108,0.7129142149272221,6.0814,544.613,68.077,,,,,
0.0348,7.640557939914164e-06,23.61,11000,,,,,,,,,,,,,
,,23.61,11000,1.5270906686782837,0.720108695652174,0.7473053892215569,0.7119224187107815,0.7291849255039439,6.0637,546.202,68.275,,,,,
0.0399,7.5334763948497855e-06,24.68,11500,,,,,,,,,,,,,
,,24.68,11500,1.6077936887741089,0.7080314009661836,0.7783286118980169,0.6269252709640616,0.694470774091627,6.0941,543.48,67.935,,,,,
0.0335,7.42618025751073e-06,25.75,12000,,,,,,,,,,,,,
,,25.75,12000,1.6110551357269287,0.7110507246376812,0.7729766803840878,0.6428978893325727,0.7019620056057304,6.113,541.799,67.725,,,,,
0.0352,7.3188841201716744e-06,26.82,12500,,,,,,,,,,,,,
,,26.82,12500,1.812247633934021,0.6826690821256038,0.8179347826086957,0.5151169423844837,0.632131606580329,6.1413,539.304,67.413,,,,,
0.0268,7.2115879828326185e-06,27.9,13000,,,,,,,,,,,,,
,,27.9,13000,1.7065316438674927,0.7110507246376812,0.8001508295625943,0.6052481460353679,0.6891848002598245,6.0973,543.19,67.899,,,,,
0.0304,7.1042918454935626e-06,28.97,13500,,,,,,,,,,,,,
,,28.97,13500,1.7812718152999878,0.7068236714975845,0.7953172205438066,0.6006845407872219,0.6844328891777706,6.0694,545.686,68.211,,,,,
0.0293,6.997210300429185e-06,30.04,14000,,,,,,,,,,,,,
,,30.04,14000,1.819116234779358,0.7059178743961353,0.7993850883935434,0.5932686822589845,0.6810740013097576,6.0729,545.372,68.172,,,,,
0.0222,6.889914163090129e-06,31.12,14500,,,,,,,,,,,,,
,,31.12,14500,1.83366858959198,0.7086352657004831,0.8117088607594937,0.5852823730747291,0.6801458402386477,6.06,546.539,68.317,,,,,
0.0227,6.782618025751073e-06,32.19,15000,,,,,,,,,,,,,
,,32.19,15000,1.88656485080719,0.7004830917874396,0.8075990299110751,0.5698802053622362,0.6682274247491639,6.0727,545.389,68.174,,,,,
0.0198,6.675321888412017e-06,33.26,15500,,,,,,,,,,,,,
,,33.26,15500,1.7308077812194824,0.7346014492753623,0.7878787878787878,0.6822589845978323,0.7312748394986243,6.1527,538.301,67.288,,,,,
