loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6577,9.892703862660945e-06,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6641234755516052,0.6014492753623188,0.6796680497925311,0.4671990872789504,0.5537525354969574,18.702,177.093,22.137,,,,,
0.6297,9.785407725321889e-06,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6615224480628967,0.6111111111111112,0.6846703733121525,0.4917284654877353,0.5723771580345285,5.2273,633.593,79.199,,,,,
0.6116,9.678111587982833e-06,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6770311594009399,0.6035628019323671,0.7091254752851711,0.4255561893896178,0.5319073083778966,5.1989,637.054,79.632,,,,,
0.5976,9.570815450643777e-06,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6666960120201111,0.6159420289855072,0.6925540432345877,0.4934398174557901,0.5762824783477681,5.1927,637.821,79.728,,,,,
0.5843,9.4637339055794e-06,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6643627882003784,0.6216787439613527,0.6862891207153502,0.5253850541928123,0.5951534733441034,5.1927,637.821,79.728,,,,,
0.5712,9.356437768240344e-06,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6674419641494751,0.6210748792270532,0.6608527131782945,0.5835710211066742,0.6198121781278401,5.1925,637.837,79.73,,,,,
0.5566,9.249141630901288e-06,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6831598877906799,0.6159420289855072,0.6769683590875644,0.5248146035367941,0.5912596401028277,5.188,638.399,79.8,,,,,
0.544,9.141845493562232e-06,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6836488246917725,0.6222826086956522,0.6691374663072777,0.5664575014261266,0.613531047265987,5.2346,632.714,79.089,,,,,
0.5304,9.034763948497854e-06,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.7204504609107971,0.605072463768116,0.6909871244635193,0.4592127780946948,0.5517477724468814,5.2002,636.896,79.612,,,,,
0.5161,8.927467811158798e-06,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.7658925652503967,0.5935990338164251,0.7104446742502585,0.39189960068454077,0.5051470588235294,5.2131,635.328,79.416,,,,,
